,location,country_code,latitude,longitude,confirmed,dead,recovered,velocity_confirmed,velocity_dead,velocity_recovered,updated
0,Deventer,nl,52.2660751,6.1552165,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
1,'s-Gravenhage,nl,52.0704978,4.3006999,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
2,Pilõezinhos,br,-6.843131,-35.53057750000001,87,0.0,,5,0,0,2020-06-13 00:20:20.628942+00:00
3,Pavussu,br,-7.964324700000001,-43.2243453,2,1.0,,0,0,0,2020-06-13 00:20:19.650852+00:00
4,"Dunn County, North Dakota",us,47.2121625,-102.72602,343,7.0,,2,1,0,2020-12-17 17:45:41.346197+00:00
5,Foz do Jordão,br,-25.6934949,-52.0851258,19,0.0,,0,0,0,2020-06-13 00:19:58.969475+00:00
6,Lagoa Seca,br,-7.1549934,-35.8537249,196,3.0,,3,0,0,2020-06-13 00:20:08.643082+00:00
7,"Todd County, Kentucky",us,36.8338638,-87.14228949999999,567,14.0,,5,0,0,2020-12-17 17:45:41.346197+00:00
8,Uitgeest,nl,52.5312254,4.7120459,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
9,Catende,br,-8.6679698,-35.7218229,195,12.0,,6,0,0,2020-06-13 00:19:51.029872+00:00
10,Gilbués,br,-9.8289362,-45.3382228,6,0.0,,0,0,0,2020-06-13 00:19:59.580540+00:00
11,Itacajá,br,-8.3933415,-47.7730378,0,0.0,,0,0,0,2020-06-13 00:20:03.678386+00:00
12,Princesa Isabel,br,-7.7350218,-37.9946455,19,0.0,,1,0,0,2020-06-13 00:20:24.182273+00:00
13,Taiyuan,cn,37.87059,112.548879,21,0.0,21.0,0,0,0,2020-12-18 17:54:48.508171+00:00
14,Suhl,de,50.6076846,10.6881255,456,11.0,,0,0,0,2020-12-17 00:00:00+00:00
15,Itapiratins,br,-8.3802211,-48.1076175,28,0.0,,0,0,0,2020-06-13 00:20:04.577950+00:00
16,Southeastern Province,cn,-2.2179704,115.66283,10,0.0,10.0,0,0,0,2020-12-18 17:54:48.508171+00:00
17,Abadia de Goiás,br,-16.763784,-49.4377043,14,0.0,,0,0,0,2020-06-13 00:19:39.999296+00:00
18,Itatiaia,br,-22.4912365,-44.5721272,12,0.0,,0,0,0,2020-06-13 00:20:04.919003+00:00
19,"Coamo County, Puerto Rico",us,18.0799616,-66.35794729999999,357,0.0,0.0,5,0,0,2020-12-17 17:48:16.112082+00:00
20,Santa Luzia do Pará,br,-1.5220326,-46.901112,95,4.0,,0,0,0,2020-06-13 00:20:27.966916+00:00
21,"Madison County, Indiana",us,40.1469349,-85.684578,7646,165.0,,150,1,0,2020-12-17 17:45:41.346197+00:00
22,"Sierra County, California",us,39.5532845,-120.2512728,32,0.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
23,Aporá,br,-11.658109,-38.0715385,18,1.0,,2,0,0,2020-06-13 00:19:42.313110+00:00
24,Guapimirim,br,-22.535199,-42.9899491,457,28.0,,0,0,0,2020-06-13 00:20:00.387784+00:00
25,Zamfara,ng,12.1221805,6.2235819,79,5.0,73.0,0,0,0,2020-12-18 17:48:46.153412+00:00
26,Capim Grosso,br,-11.3801768,-40.0068953,32,3.0,,3,0,0,2020-06-13 00:19:49.805095+00:00
27,Tenente Ananias,br,-6.4574435,-38.1807707,13,2.0,,0,0,0,2020-06-13 00:20:36.253015+00:00
28,"Russell County, Virginia",us,36.9904385,-82.08429009999999,1242,13.0,0.0,21,1,0,2020-12-17 17:48:16.112082+00:00
29,"Ferry County, Washington",us,48.4718375,-118.4974069,149,1.0,0.0,0,0,0,2020-12-17 17:48:16.112082+00:00
30,Serra do Ramalho,br,-13.5413338,-43.5774778,3,0.0,,0,0,0,2020-06-13 00:20:30.440253+00:00
31,Juruá,br,-3.5811865,-66.4271499,72,0.0,,0,0,0,2020-06-13 00:20:08.138112+00:00
32,"Trinity County, Texas",us,31.0687648,-95.1432068,314,9.0,0.0,13,0,0,2020-12-17 17:48:16.112082+00:00
33,Itariri,br,-24.2895753,-47.174264,62,3.0,,0,0,0,2020-06-13 00:20:04.893570+00:00
34,Itaguaçu,br,-12.5429456,-55.72153669999999,18,0.0,,0,0,0,2020-06-13 00:20:03.847579+00:00
35,Brejo de Areia,br,-4.3349476,-45.5826417,19,0.0,,0,0,0,2020-06-13 00:19:46.899481+00:00
36,Nova Alvorada do Sul,br,-21.452822,-54.3784034,1,0.0,,0,0,0,2020-06-13 00:20:15.783983+00:00
37,"Sanders County, Montana",us,47.61094629999999,-115.1316944,371,3.0,,11,0,0,2020-12-17 17:45:41.346197+00:00
38,Angélica,br,-22.0685311,-53.8671868,3,0.0,,2,0,0,2020-06-13 00:19:41.956942+00:00
39,Casserengue,br,-6.780635299999999,-35.8177357,46,0.0,,5,0,0,2020-06-13 00:19:50.852200+00:00
40,Béchar,dz,31.6182492,-2.2143231,348,348.0,3.0,0,0,0,2020-12-18 17:48:45.666502+00:00
41,Galicia,es,42.5750554,-8.1338558,9056,607.0,9204.0,0,0,0,2020-05-22 14:18:25.542712+00:00
